instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,4,-59987.196374,-59987.196374,-59987.196374,-52894.050233,-52380.529880,100000000000000007629769841091887003294964970946560.000000,0.000003,0.140003,0.000003,300.028003,46520,169387,300.000000,0,0,0,CBC,1
1,None,4,-59981.903900,-59981.903900,-59981.903900,-52860.746357,-52380.064885,100000000000000007629769841091887003294964970946560.000000,0.000004,0.128004,0.000004,300.024004,47118,236621,300.000000,0,0,0,CBC,1
2,None,4,-60006.028579,-60006.028579,-60006.028579,-52876.842613,-52360.869855,100000000000000007629769841091887003294964970946560.000000,0.000003,0.128003,0.000003,300.028003,40767,232486,300.000000,0,0,0,CBC,1
3,None,4,-59998.378783,-59998.378783,-59998.378783,-52963.575797,-52451.531043,100000000000000007629769841091887003294964970946560.000000,0.000003,0.156003,0.000003,300.024003,43461,208790,300.000000,0,0,0,CBC,1
4,None,4,-60013.462078,-60013.462078,-60013.462078,-52914.639125,-52472.769381,100000000000000007629769841091887003294964970946560.000000,0.000004,0.140004,0.000004,300.032004,46856,186872,300.000000,0,0,0,CBC,1
5,None,4,-60031.944433,-60031.944433,-60031.944433,-53011.075602,-52584.839317,100000000000000007629769841091887003294964970946560.000000,0.000003,0.128003,0.000003,300.024003,42829,240386,300.000000,0,0,0,CBC,1
6,None,4,-59977.797995,-59977.797995,-59977.797995,-52749.913025,-52344.311608,100000000000000007629769841091887003294964970946560.000000,0.000003,0.124003,0.000003,300.028003,41441,336498,300.000000,0,0,0,CBC,1
7,None,4,-60008.235178,-60008.235178,-60008.235178,-52969.406781,-52497.325399,100000000000000007629769841091887003294964970946560.000000,0.000002,0.136002,0.000002,300.032002,47717,199189,300.000000,0,0,0,CBC,1
8,None,4,-59992.661359,-59992.661359,-59992.661359,-52954.508060,-52334.792788,100000000000000007629769841091887003294964970946560.000000,0.000002,0.096002,0.000002,300.028002,42217,224054,300.000000,0,0,0,CBC,1
9,None,4,-59991.014954,-59991.014954,-59991.014954,-52729.299480,-52228.716269,100000000000000007629769841091887003294964970946560.000000,0.000002,0.136002,0.000002,300.032002,42895,234956,300.000000,0,0,0,CBC,1
10,None,4,-59972.478010,-59972.478010,-59972.478010,-52457.417130,-51968.780025,100000000000000007629769841091887003294964970946560.000000,0.000003,0.132003,0.000003,300.032003,42541,223558,300.000000,0,0,0,CBC,1
