instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,25302.209524,27137.949884,25805.491566,129037.622696,130582.949864,130596.000000,6.290349,7.048306,141.791358,245.659590,65467,886327,600.000000,64,2,321,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,NoMatrix,64,25383.686353,27205.401150,25862.429965,155303.683901,156691.106938,156706.000000,0.372575,0.575713,0.861671,0.861958,258,1579,600.000000,64,2,0,GUROBI,1,45,45,0,19,0,0,1,0,1,1
10,0,NoMatrix,64,24979.534269,26692.397066,25418.885316,145124.795689,147725.578233,147739.000000,0.366925,0.645881,4.285711,4.286002,2127,12646,600.000000,64,2,0,GUROBI,1,55,55,0,9,0,0,1,0,1,1
2,0,NoMatrix,64,26238.967828,27912.071144,26439.657088,154780.645778,156428.424194,156436.000000,0.361062,0.570315,1.796014,1.796234,980,5911,600.000000,64,2,0,GUROBI,1,28,28,0,36,0,0,1,0,1,1
3,0,NoMatrix,64,25035.058338,27071.065226,25517.888377,151202.995776,152796.702020,152804.000000,0.358579,0.593942,2.603679,2.604751,917,6745,600.000000,64,2,0,GUROBI,1,54,54,0,10,0,0,1,0,1,1
4,0,NoMatrix,64,24765.488245,27038.880747,25137.471688,153386.946367,156139.745563,156155.000000,0.371004,0.590625,2.801965,2.802260,1040,6205,600.000000,64,2,0,GUROBI,1,50,50,0,14,0,0,1,0,1,1
5,0,NoMatrix,64,25107.271657,26904.515431,25617.551960,153744.937026,156197.405782,156213.000000,0.348227,0.562277,2.649693,2.649990,1162,7034,600.000000,64,2,0,GUROBI,1,46,46,0,18,0,0,1,0,1,1
6,0,NoMatrix,64,25454.235234,27245.659407,25922.070985,154501.665398,157119.774824,157135.000000,0.356075,0.580454,2.725867,2.726185,1022,6309,600.000000,64,2,0,GUROBI,1,32,32,0,32,0,0,1,0,1,1
7,0,NoMatrix,64,25894.239269,27753.397792,26364.764050,150816.767104,153663.609450,153666.000000,0.377080,0.645689,14.295647,14.295920,8444,60522,600.000000,64,2,0,GUROBI,1,54,54,0,10,0,0,1,0,1,1
8,0,NoMatrix,64,25724.005653,27809.866370,26241.608852,157134.183441,158435.733139,158451.000000,0.366927,0.597142,1.139136,1.139518,464,2673,600.000000,64,2,0,GUROBI,1,57,57,0,7,0,0,1,0,1,1
9,0,NoMatrix,64,26037.056090,28044.795011,26473.700147,155944.807068,158184.638256,158200.000000,0.379590,0.569299,2.411117,2.411362,963,5124,600.000000,64,2,0,GUROBI,1,51,51,0,13,0,0,1,0,1,1
